lat,lon,value
40.71624,-73.95267,28
40.7186,-73.95487,29
40.7181388569,-73.9549678284,21
40.7171388569,-73.9619678284,73
40.7191388569,-73.9619678284,80
40.7231388569,-73.9579678284,53
40.719079,-73.958579,22
40.7221388569,-73.9619678284,59
40.71895,-73.955117,77
40.7171388569,-73.9619678284,77
40.7183081113,-73.9597221229,36
40.7171388569,-73.9549678284,70
40.7181388569,-73.9549678284,54
40.774455,-73.855826,38
43.6458580571,-79.3738225605,58
43.647379,-79.372869,73
43.6428580571,-79.3738225605,67
43.6409729406,-79.373912467,80
43.6429729406,-79.375912467,22
43.6438580571,-79.3728225605,55
43.643173,-79.373143,69
43.6488580571,-79.3708225605,40
43.642379,-79.370869,43
43.6478580571,-79.3788225605,80
43.645379,-79.370869,43
43.6458580571,-79.3728225605,52
43.6428580571,-79.3718225605,69
43.6439729406,-79.375912467,62
43.6488580571,-79.3798225605,73
43.6458580571,-79.3758225605,75
43.642379,-79.377869,62
43.6468580571,-79.3698225605,53
43.685558,-79.617076,40
43.690265,-79.622807,74
40.7191388569,-73.9539678284,53
40.7171388569,-73.9579678284,70
40.7410589,-74.0030419,78
40.7237197133,-73.95086087,65
40.7201388569,-73.9569678284,39
40.71795,-73.954117,31
40.7153299,-73.95053,71
40.7183299,-73.95553,31
40.7171388569,-73.9549678284,66
40.731048,-73.939801,30
40.7201388569,-73.9599678284,75
40.720264,-73.95639,47
40.7251388569,-73.9539678284,78
40.73361,-73.988162,77
40.73861,-73.982162,22
40.741104,-73.990823,28
40.7177197133,-73.95586087,67
40.7231388569,-73.9539678284,53
40.716079,-73.961579,53
40.722327,-73.954276,22
40.7181388569,-73.9619678284,46
40.7193081113,-73.9607221229,24
40.7161388569,-73.9569678284,42
40.7161388569,-73.9539678284,26
40.775566,-73.854554,32
40.775259,-73.8561,37
43.6428580571,-79.3798225605,57
43.640173,-79.372143,64
43.6448580571,-79.3718225605,63
43.642379,-79.373869,45
43.6468580571,-79.3798225605,21
43.6501655598,-79.3828171491,66
43.654394,-79.379075,72
43.6531655598,-79.3828171491,44
43.6591655598,-79.3848171491,30
43.6521655598,-79.3808171491,56
43.6398580571,-79.3778225605,33
43.6458580571,-79.3778225605,64
43.6408580571,-79.3748225605,25
43.6531655598,-79.3778171491,59
43.647042,-79.370014,45
43.6541655598,-79.3768171491,38
43.6541655598,-79.3778171491,26
43.6398580571,-79.3708225605,50
43.649379,-79.372869,67
43.6408580571,-79.3788225605,52
43.640973,-79.372065,41
43.688666,-79.616011,68
43.687078,-79.615468,39
37.439736,-122.4378,31
37.434272,-122.44004,58
37.436704,-122.4418,67
37.438203,-122.43966,41
37.441203,-122.44266,25
37.436704,-122.4338,59
37.615181,-122.37469,60
37.618181,-122.37469,72
40.7161388569,-73.9629678284,25
40.680103,-73.970411,75
40.7251388569,-73.9569678284,72
40.605235,-75.33597,49
40.237792,-77.139285,50
40.008197,-79.039424,38
39.892575,-79.41627,48
39.889575,-79.41627,37
40.002364,-79.044925,32
40.67974,-73.978633,34
40.677103,-73.970411,49
40.7241388569,-73.9609678284,30
40.719297,-73.952723,58
40.716845,-73.958259,54
40.7151444906,-73.9494317452,75
40.7191388569,-73.9529678284,69
40.7191388569,-73.9619678284,57
40.769259,-73.8601,26
43.691202,-79.622631,52
43.692389,-79.619928,39
43.6398580571,-79.3748225605,45
43.644379,-79.373869,57
43.6478580571,-79.3798225605,37
43.6501655598,-79.3758171491,60
43.6591655598,-79.3748171491,33
43.6488580571,-79.3738225605,42
43.646379,-79.371869,66
43.6438580571,-79.3698225605,60
43.6561655598,-79.3778171491,65
43.6581655598,-79.3848171491,80
43.6398580571,-79.3778225605,78
43.645379,-79.376869,36
43.6448580571,-79.3718225605,63
43.690558,-79.620076,34
43.686157,-79.624184,55
40.768076,-73.857639,37
40.7221388569,-73.9589678284,20
40.7241388569,-73.9559678284,64
40.7241388569,-73.9609678284,52
40.7410589,-74.0010419,65
40.7403359,-73.9986265,27
40.7361888286,-74.0009240029,55
40.7231388569,-73.9549678284,23
40.7171388569,-73.9559678284,73
40.760741,-73.968386,77
40.756089,-73.977281,70
40.761014,-73.97943,62
40.755445,-73.979928,55
40.755944,-73.974322,52
40.757234,-73.970266,61
40.766989,-73.973389,70
40.76068,-73.966721,76
40.76466,-73.968255,47
40.784061,-73.972752,66
40.7210955128,-73.9593641481,34
40.7221388569,-73.9609678284,36
40.7191388569,-73.9579678284,35
40.7141444906,-73.9464317452,49
40.725068,-73.957045,43
40.72264,-73.96165,41
40.7184482046,-73.9598736841,74
40.7161388569,-73.9599678284,37
40.7253081113,-73.9567221229,62
40.715602,-73.956614,38
40.7201388569,-73.9579678284,68
40.7241388569,-73.9549678284,69
40.776259,-73.8601,49
43.694389,-79.616928,23
43.69192,-79.614977,73
43.6408580571,-79.3758225605,45
43.6438580571,-79.3778225605,28
43.651604,-79.38913,23
43.6531655598,-79.3838171491,57
43.6581655598,-79.3778171491,45
43.6448580571,-79.3768225605,78
43.6573056445,-79.3802531625,78
43.6563056445,-79.3772531625,55
43.6458580571,-79.3768225605,68
43.686716,-79.346554,74
43.6613056445,-79.3792531625,69
43.6543056445,-79.3762531625,71
